address,property_id,square_meters,total_floors,floor,type,price,days_on_market,rooms,city
"123 Main St, Essen",ID008726,247,20,22,Residential,5362661,185,9,Essen
"138 Main St, Essen",ID018235,247,22,25,Residential,6531554,94,1,Essen
"91 Park Ave, Essen",ID010559,247,27,28,Residential,6643512,364,1,Essen
"151 Broadway, Essen",ID002882,247,18,18,Commercial,9398318,193,5,Essen
"69 High St, Essen",ID001483,248,16,21,Residential,2273965,157,5,Essen
"264 Park Ave, Essen",ID010133,248,14,23,Residential,2519715,33,3,Essen
"85 Broadway, Essen",ID009339,248,29,13,Residential,4072190,83,5,Essen
"191 High St, Essen",ID010049,248,15,11,Commercial,7004255,353,2,Essen
"174 Main St, Essen",ID019910,248,7,23,Residential,7110953,6,8,Essen
"10 High St, Essen",ID021214,248,22,26,Residential,7645933,337,6,Essen
"134 High St, Essen",ID018591,248,14,25,Commercial,7666349,303,9,Essen
"109 High St, Essen",ID007827,249,16,19,Commercial,2620474,28,1,Essen
"155 Broadway, Essen",ID012811,249,28,15,Residential,3405156,168,5,Essen
"254 Main St, Essen",ID008195,249,29,24,Residential,4942852,223,5,Essen
"292 High St, Essen",ID005528,249,26,6,Residential,5948372,62,2,Essen
"29 Broadway, Essen",ID002507,249,19,12,Residential,6530003,29,5,Essen
"111 High St, Essen",ID024727,249,29,16,Commercial,6589894,348,5,Essen
"190 Park Ave, Essen",ID013388,249,25,26,Residential,9280792,289,8,Essen
"150 High St, Essen",ID022340,250,29,11,Commercial,460238,122,7,Essen
"130 Broadway, Essen",ID012223,250,23,1,Residential,945171,210,7,Essen
"163 High St, Essen",ID020147,250,9,23,Residential,3732606,352,7,Essen
"66 High St, Essen",ID011908,251,4,20,Commercial,3248683,300,9,Essen
"195 Main St, Essen",ID019376,251,14,18,Commercial,6209042,27,6,Essen
"47 Broadway, Essen",ID005957,251,6,24,Commercial,8506075,104,7,Essen
"53 High St, Essen",ID024944,251,7,5,Commercial,8552588,327,8,Essen
"228 Park Ave, Essen",ID005782,251,29,16,Commercial,8684669,286,7,Essen
"126 Park Ave, Essen",ID009100,252,21,26,Residential,1654359,256,3,Essen
"192 Main St, Essen",ID019237,252,11,21,Commercial,4870985,103,6,Essen
"213 Broadway, Essen",ID017077,252,3,29,Residential,5587055,283,7,Essen
"45 High St, Essen",ID023244,252,11,26,Commercial,6105003,362,9,Essen
"20 Broadway, Essen",ID021762,252,3,20,Residential,6939197,196,4,Essen
"284 Broadway, Essen",ID015475,252,25,11,Commercial,8134246,1,6,Essen
"186 Broadway, Essen",ID025051,252,16,22,Commercial,8709572,309,4,Essen
"212 High St, Essen",ID022209,253,23,6,Commercial,1145924,58,6,Essen
"35 Park Ave, Essen",ID002453,253,6,24,Residential,1298973,156,8,Essen
"151 Broadway, Essen",ID000321,253,1,8,Commercial,3034768,102,1,Essen
"164 High St, Essen",ID006613,253,13,5,Residential,4970382,252,3,Essen
"23 Broadway, Essen",ID017661,254,29,17,Residential,1096920,227,1,Essen
"294 Park Ave, Essen",ID002358,254,16,28,Residential,3420296,75,4,Essen
"210 Main St, Essen",ID010989,254,12,22,Commercial,5809261,108,3,Essen
"270 Main St, Essen",ID018730,254,24,27,Residential,5990336,126,1,Essen
"14 Broadway, Essen",ID005859,254,29,12,Commercial,6574894,314,5,Essen
"56 Main St, Essen",ID005724,255,14,11,Residential,1247453,79,2,Essen
"174 Park Ave, Essen",ID013899,255,9,16,Residential,1287417,148,5,Essen
"219 High St, Essen",ID020962,255,10,13,Residential,2430349,231,8,Essen
"211 Main St, Essen",ID011327,255,20,7,Commercial,2628055,138,1,Essen
"85 Park Ave, Essen",ID019617,255,26,27,Residential,3675973,120,1,Essen
"118 Broadway, Essen",ID001804,255,6,20,Residential,5257064,140,9,Essen
"232 High St, Essen",ID004244,255,1,5,Commercial,9128172,227,6,Essen
"38 Broadway, Essen",ID001021,256,15,26,Commercial,493638,74,2,Essen
"18 Park Ave, Essen",ID019235,256,16,2,Residential,893626,234,6,Essen
"26 Broadway, Essen",ID015491,256,6,12,Commercial,1209498,211,3,Essen
"72 High St, Essen",ID023786,256,20,16,Commercial,1294645,305,7,Essen
"232 Main St, Essen",ID014523,256,1,3,Residential,3954577,1,2,Essen
"188 Park Ave, Essen",ID005665,256,3,2,Commercial,4401465,12,3,Essen
"85 Broadway, Essen",ID024045,256,4,6,Residential,5674352,108,4,Essen
"21 Park Ave, Essen",ID011649,256,18,25,Residential,9186660,69,3,Essen
"176 Park Ave, Essen",ID019653,257,22,6,Residential,515498,189,6,Essen
"91 Broadway, Essen",ID000029,257,19,14,Residential,638233,29,3,Essen
"128 Broadway, Essen",ID020428,257,7,25,Residential,2791477,116,4,Essen
"129 Main St, Essen",ID003785,257,22,9,Residential,4379393,359,5,Essen
"1 Park Ave, Essen",ID014363,257,23,1,Commercial,6520255,50,6,Essen
"132 Main St, Essen",ID005393,257,24,29,Commercial,9279309,214,6,Essen
"85 Park Ave, Essen",ID019216,258,29,3,Commercial,1199171,167,9,Essen
"11 Main St, Essen",ID016482,258,6,8,Residential,1690365,138,9,Essen
"183 Park Ave, Essen",ID020992,258,9,13,Residential,2903349,123,9,Essen
"287 Park Ave, Essen",ID023651,258,10,12,Commercial,7389539,271,8,Essen
"243 Main St, Essen",ID011466,258,11,29,Residential,8264784,17,9,Essen
"6 High St, Essen",ID021137,258,10,21,Commercial,8951937,240,4,Essen
"130 Park Ave, Essen",ID021232,258,23,11,Residential,9078027,111,7,Essen
"13 High St, Essen",ID004001,259,9,13,Commercial,1085716,17,3,Essen
"1 Main St, Essen",ID022200,259,25,26,Commercial,2889183,268,5,Essen
"88 Park Ave, Essen",ID020465,259,29,27,Commercial,3989046,151,4,Essen
"243 Park Ave, Essen",ID000586,259,5,1,Commercial,7755176,20,8,Essen
"191 Main St, Essen",ID023678,260,24,19,Residential,328241,46,4,Essen
"77 High St, Essen",ID017949,260,23,9,Residential,1250858,179,1,Essen
"62 Broadway, Essen",ID013467,260,25,3,Commercial,1914483,233,7,Essen
"295 Broadway, Essen",ID021129,260,19,26,Residential,3299318,240,8,Essen
"18 Main St, Essen",ID015701,260,6,27,Commercial,5025769,363,7,Essen
"208 Broadway, Essen",ID002892,260,13,20,Residential,6689062,143,6,Essen
"48 High St, Essen",ID004065,260,22,13,Commercial,7669826,235,5,Essen
"110 Park Ave, Essen",ID005317,261,2,21,Residential,7651474,111,6,Essen
"250 Park Ave, Essen",ID000697,261,7,8,Commercial,8163723,212,3,Essen
"69 High St, Essen",ID024197,261,20,25,Residential,9907315,105,5,Essen
"72 Broadway, Essen",ID016830,262,17,4,Commercial,5065003,314,2,Essen
"288 High St, Essen",ID021777,263,4,7,Residential,2381214,112,7,Essen
"26 Broadway, Essen",ID021306,264,24,12,Residential,600063,232,3,Essen
"18 High St, Essen",ID023423,264,23,17,Residential,686150,104,2,Essen
"68 Park Ave, Essen",ID000747,264,3,20,Residential,838587,316,5,Essen
"63 Broadway, Essen",ID006517,264,29,14,Residential,2555860,66,7,Essen
"260 Park Ave, Essen",ID022634,264,11,7,Commercial,4094439,270,6,Essen
"47 Park Ave, Essen",ID016713,264,18,27,Commercial,4949262,43,6,Essen
"50 Broadway, Essen",ID013508,265,3,2,Residential,160466,120,9,Essen
"73 High St, Essen",ID008932,265,24,21,Residential,2084917,193,7,Essen
"20 High St, Essen",ID016419,266,2,5,Residential,2365556,314,8,Essen
"38 Broadway, Essen",ID002940,266,27,20,Residential,2923518,203,7,Essen
"221 Broadway, Essen",ID019076,266,21,12,Commercial,3848740,210,3,Essen
"89 High St, Essen",ID020204,266,4,7,Residential,3867659,32,1,Essen
"96 Main St, Essen",ID014924,266,23,23,Residential,4129434,5,4,Essen
"189 Broadway, Essen",ID010231,266,19,9,Commercial,6212684,237,3,Essen
"70 Main St, Essen",ID023611,266,23,19,Residential,6606024,168,5,Essen
"66 Park Ave, Essen",ID014923,266,8,6,Commercial,7971523,243,5,Essen
"180 Main St, Essen",ID013564,266,22,16,Commercial,9082842,98,5,Essen
"258 Broadway, Essen",ID003656,267,1,4,Commercial,1400966,150,4,Essen
"151 Park Ave, Essen",ID024001,267,26,16,Residential,1707325,195,2,Essen
"226 Main St, Essen",ID009564,267,16,29,Residential,4938064,74,7,Essen
"8 Broadway, Essen",ID015400,267,14,16,Residential,6436550,186,5,Essen
"229 Park Ave, Essen",ID005316,268,20,4,Commercial,2859710,105,9,Essen
"39 Park Ave, Essen",ID003480,268,10,15,Commercial,4909971,82,5,Essen
"219 High St, Essen",ID016403,268,21,18,Residential,8756551,230,9,Essen
"205 Broadway, Essen",ID017836,268,21,29,Residential,9242504,353,3,Essen
"150 Main St, Essen",ID017918,269,4,24,Commercial,1411974,341,9,Essen
"184 Main St, Essen",ID012640,269,10,25,Residential,3043710,344,8,Essen
"73 High St, Essen",ID000328,269,2,11,Residential,5902087,275,2,Essen
"249 Broadway, Essen",ID002034,269,23,20,Residential,7645744,282,7,Essen
"49 Main St, Essen",ID005155,270,16,26,Commercial,610257,139,7,Essen
"265 Park Ave, Essen",ID021905,270,10,28,Residential,696779,293,7,Essen
"114 Park Ave, Essen",ID004814,270,8,26,Commercial,1205643,103,2,Essen
"118 High St, Essen",ID015326,270,13,12,Residential,4278752,218,5,Essen
"248 High St, Essen",ID021879,270,29,16,Residential,5730007,72,3,Essen
"212 Park Ave, Essen",ID015635,270,29,28,Residential,6166895,31,7,Essen
"162 High St, Essen",ID011557,270,2,24,Commercial,7587478,199,4,Essen
"191 Broadway, Essen",ID021095,270,2,12,Residential,9323192,337,8,Essen
"34 Broadway, Essen",ID008704,270,26,28,Commercial,9428801,122,6,Essen
"198 High St, Essen",ID022375,270,15,15,Residential,9708895,335,7,Essen
"175 Park Ave, Essen",ID023796,271,19,6,Residential,185221,201,8,Essen
"222 High St, Essen",ID002758,271,22,8,Residential,3240573,219,8,Essen
"222 High St, Essen",ID022781,271,29,28,Residential,4412757,274,7,Essen
"241 Broadway, Essen",ID001714,271,29,20,Commercial,4556621,328,8,Essen
"166 Park Ave, Essen",ID017927,271,8,2,Residential,4908482,165,8,Essen
"162 Park Ave, Essen",ID022947,271,11,29,Commercial,7946494,191,1,Essen
"233 Main St, Essen",ID021749,271,4,5,Residential,9524974,62,5,Essen
"49 High St, Essen",ID001186,271,17,1,Residential,9752055,171,2,Essen
"132 Main St, Essen",ID023272,272,8,1,Residential,696609,44,8,Essen
"77 High St, Essen",ID003981,272,3,7,Commercial,2499661,214,9,Essen
"182 Park Ave, Essen",ID011453,272,4,6,Commercial,3811178,126,1,Essen
"42 High St, Essen",ID006081,272,23,13,Residential,4098998,224,8,Essen
"105 Broadway, Essen",ID012605,272,17,15,Commercial,4909754,77,8,Essen
"14 Main St, Essen",ID010622,272,29,11,Commercial,6913886,252,4,Essen
"118 Main St, Essen",ID010708,273,5,29,Residential,1489238,5,1,Essen
"277 High St, Essen",ID012841,273,27,19,Commercial,2184588,335,3,Essen
"3 High St, Essen",ID009705,273,26,18,Residential,4281050,58,6,Essen
"134 Main St, Essen",ID017382,273,22,8,Commercial,8314813,180,6,Essen
"282 Park Ave, Essen",ID010937,273,21,6,Commercial,8489481,105,2,Essen
"117 High St, Essen",ID001262,274,24,10,Residential,5396493,231,5,Essen
"158 Broadway, Essen",ID006870,274,27,20,Commercial,5612150,100,4,Essen
"156 Broadway, Essen",ID009656,274,6,19,Commercial,6677520,287,8,Essen
"40 Main St, Essen",ID019837,274,15,18,Commercial,6772821,134,5,Essen
"9 High St, Essen",ID001551,274,22,23,Commercial,6869190,208,4,Essen
"209 High St, Essen",ID013739,274,1,21,Residential,7415935,309,7,Essen
"16 High St, Essen",ID008401,274,20,27,Residential,7520809,191,8,Essen
"107 Park Ave, Essen",ID005349,274,26,23,Commercial,8824857,101,1,Essen
"207 High St, Essen",ID025215,275,23,6,Residential,679816,264,2,Essen
"52 High St, Essen",ID009440,275,1,21,Residential,1020744,247,3,Essen
"135 High St, Essen",ID008237,275,23,8,Commercial,2210662,207,9,Essen
"119 Broadway, Essen",ID019790,275,6,16,Commercial,5913306,274,1,Essen
"272 Main St, Essen",ID016706,275,17,15,Commercial,6338368,172,5,Essen
"126 High St, Essen",ID005289,275,19,8,Residential,6884935,315,4,Essen
"295 Park Ave, Essen",ID004791,275,27,20,Commercial,9310267,354,8,Essen
"294 Broadway, Essen",ID025394,276,2,17,Commercial,4975985,203,1,Essen
"244 Park Ave, Essen",ID015035,276,25,6,Residential,6226352,96,9,Essen
"273 Main St, Essen",ID010933,276,3,22,Residential,6568526,146,6,Essen
"79 High St, Essen",ID004510,277,6,25,Commercial,2276420,195,6,Essen
"64 Broadway, Essen",ID016972,277,15,23,Residential,3279347,206,2,Essen
"224 High St, Essen",ID002929,277,27,5,Residential,5162075,185,4,Essen
"134 Main St, Essen",ID012594,277,29,4,Residential,5220298,299,1,Essen
"220 Main St, Essen",ID002304,277,22,16,Residential,9099790,137,2,Essen
"142 High St, Essen",ID008981,277,9,8,Residential,9969170,19,8,Essen
"9 High St, Essen",ID007888,278,8,2,Residential,1628400,244,9,Essen
"223 Broadway, Essen",ID004103,278,1,10,Residential,3581351,7,3,Essen
"169 Broadway, Essen",ID021971,278,11,2,Commercial,3591887,83,9,Essen
"151 Broadway, Essen",ID005328,278,8,7,Residential,4675181,111,3,Essen
"148 High St, Essen",ID016529,278,11,22,Residential,7375022,206,6,Essen
"68 Main St, Essen",ID012665,279,15,9,Residential,370737,148,7,Essen
"42 Main St, Essen",ID013959,279,29,24,Commercial,5056471,222,7,Essen
"254 High St, Essen",ID023653,279,4,7,Commercial,6585570,69,7,Essen
"150 Main St, Essen",ID005075,279,19,29,Commercial,7969827,306,3,Essen
"212 Main St, Essen",ID001857,279,28,21,Commercial,8351491,212,3,Essen
"25 Park Ave, Essen",ID016410,279,8,7,Residential,9487233,82,9,Essen
"22 Park Ave, Essen",ID000258,280,12,23,Commercial,1067537,155,6,Essen
"265 High St, Essen",ID003657,280,29,13,Residential,3160180,348,1,Essen
"171 Park Ave, Essen",ID007231,280,16,22,Residential,3884158,347,7,Essen
"121 Park Ave, Essen",ID013338,280,26,21,Residential,6473866,103,3,Essen
"23 Broadway, Essen",ID002220,280,13,1,Residential,8687281,215,2,Essen
"141 Main St, Essen",ID016552,281,11,7,Residential,2230879,267,1,Essen
"180 High St, Essen",ID015139,281,16,3,Residential,7373867,80,1,Essen
"150 Broadway, Essen",ID007179,281,5,21,Residential,9258985,337,2,Essen
"74 Main St, Essen",ID002245,282,22,18,Commercial,7522752,95,6,Essen
"31 Main St, Essen",ID014987,282,15,25,Commercial,8428664,263,7,Essen
"277 Main St, Essen",ID006672,282,27,9,Residential,9642133,45,8,Essen
"68 High St, Essen",ID019595,283,13,15,Residential,1788377,74,6,Essen
"157 Main St, Essen",ID011282,283,22,7,Commercial,2142902,107,9,Essen
"76 Park Ave, Essen",ID016486,283,19,4,Commercial,4008219,236,9,Essen
"49 Broadway, Essen",ID021000,283,7,12,Commercial,4498789,12,6,Essen
"54 Park Ave, Essen",ID001094,283,3,5,Residential,5143764,111,8,Essen
"291 High St, Essen",ID025462,283,14,5,Residential,5294972,94,6,Essen
"120 Broadway, Essen",ID020963,283,16,29,Residential,7070887,248,6,Essen
"186 Broadway, Essen",ID015234,284,21,6,Commercial,836294,53,2,Essen
"142 Main St, Essen",ID014273,284,2,26,Residential,7325549,256,9,Essen
"288 Broadway, Essen",ID017473,284,26,28,Residential,9000977,37,3,Essen
"46 Park Ave, Essen",ID024631,286,18,28,Residential,2259715,72,4,Essen
"136 Park Ave, Essen",ID019244,286,11,20,Commercial,2529908,42,9,Essen
"120 Broadway, Essen",ID004073,286,22,14,Commercial,3757207,61,7,Essen
"231 Park Ave, Essen",ID012793,286,18,26,Residential,4613184,198,6,Essen
"292 Park Ave, Essen",ID020480,286,3,14,Commercial,8463755,166,5,Essen
"46 Broadway, Essen",ID003436,286,7,6,Residential,9068119,316,9,Essen
"153 Main St, Essen",ID010436,286,8,10,Commercial,9085082,246,9,Essen
"89 Park Ave, Essen",ID017497,287,1,23,Commercial,221660,78,3,Essen
"3 Park Ave, Essen",ID018845,287,13,13,Commercial,961646,106,3,Essen
"228 Park Ave, Essen",ID010459,287,12,17,Commercial,2975090,279,3,Essen
"244 Park Ave, Essen",ID008802,287,14,22,Residential,4963594,223,1,Essen
"41 Main St, Essen",ID008784,287,18,22,Commercial,8090027,107,3,Essen
"182 High St, Essen",ID014150,288,8,9,Commercial,1365056,324,4,Essen
"281 Broadway, Essen",ID005471,288,21,8,Commercial,2295527,117,5,Essen
"124 Broadway, Essen",ID014069,288,3,12,Commercial,4802966,309,1,Essen
"109 Broadway, Essen",ID006918,288,18,10,Residential,4885918,337,6,Essen
"13 High St, Essen",ID008988,288,27,20,Residential,6661911,351,3,Essen
"184 High St, Essen",ID014680,288,27,12,Commercial,7616170,73,2,Essen
"254 Broadway, Essen",ID023876,288,17,10,Commercial,8261905,288,2,Essen
"76 Park Ave, Essen",ID010492,289,3,21,Commercial,7676486,349,5,Essen
"285 Main St, Essen",ID019440,289,24,5,Commercial,9519555,211,4,Essen
"216 High St, Essen",ID007549,290,20,25,Commercial,3631855,24,9,Essen
"168 Broadway, Essen",ID004303,290,1,17,Residential,6151606,14,7,Essen
"242 Broadway, Essen",ID022325,290,16,7,Residential,6981679,141,1,Essen
"283 Broadway, Essen",ID004789,290,2,22,Commercial,9269746,234,3,Essen
"111 High St, Essen",ID019466,291,18,7,Commercial,1189667,109,6,Essen
"95 High St, Essen",ID005666,291,29,28,Residential,1561865,319,5,Essen
"58 Broadway, Essen",ID010050,291,13,9,Commercial,2177197,9,1,Essen
"126 High St, Essen",ID014970,291,28,22,Commercial,4386716,112,4,Essen
"126 Broadway, Essen",ID002347,291,18,15,Commercial,4412323,80,5,Essen
"212 High St, Essen",ID012317,291,28,22,Residential,5038186,158,5,Essen
"265 Park Ave, Essen",ID007616,291,9,20,Residential,8554714,65,7,Essen
"70 Broadway, Essen",ID003520,291,17,29,Residential,9081239,276,6,Essen
"118 Broadway, Essen",ID009646,291,27,6,Residential,9228578,143,9,Essen
"137 Main St, Essen",ID002081,291,20,24,Residential,9331984,320,8,Essen
"257 High St, Essen",ID020076,292,24,17,Commercial,1054194,48,3,Essen
"170 Park Ave, Essen",ID019600,292,27,1,Residential,3890706,327,2,Essen
"145 High St, Essen",ID000993,292,14,5,Commercial,6085274,283,2,Essen
"293 High St, Essen",ID003750,292,9,27,Residential,8798457,258,9,Essen
"208 Broadway, Essen",ID009295,293,27,21,Commercial,163467,317,5,Essen
"98 Broadway, Essen",ID010706,293,12,6,Commercial,2205032,76,9,Essen
"254 Park Ave, Essen",ID017245,293,3,28,Residential,2332437,247,8,Essen
"290 Park Ave, Essen",ID015118,293,14,26,Residential,2529848,96,7,Essen
"3 Park Ave, Essen",ID018299,293,1,3,Residential,2652921,307,5,Essen
"264 Broadway, Essen",ID000864,293,6,26,Commercial,3758211,185,1,Essen
"236 Park Ave, Essen",ID014275,293,15,27,Residential,5531421,319,5,Essen
"146 Main St, Essen",ID016954,294,19,7,Commercial,1295315,324,4,Essen
"104 Main St, Essen",ID005658,294,29,13,Commercial,2987798,156,9,Essen
"91 Main St, Essen",ID001664,294,12,15,Residential,3192162,181,1,Essen
"225 Broadway, Essen",ID010719,294,12,24,Residential,4318947,173,2,Essen
"176 High St, Essen",ID013849,294,6,4,Residential,4569739,125,7,Essen
"284 Main St, Essen",ID001810,294,24,25,Commercial,9720577,114,7,Essen
"134 Broadway, Essen",ID012288,295,6,10,Residential,2072852,102,8,Essen
"22 Broadway, Essen",ID017922,295,19,12,Residential,3123104,285,4,Essen
"223 Park Ave, Essen",ID007290,295,23,20,Commercial,6939326,67,6,Essen
"181 Main St, Essen",ID011092,295,23,10,Residential,7855895,347,1,Essen
"269 Main St, Essen",ID002999,295,16,6,Residential,8602739,190,9,Essen
"191 Main St, Essen",ID025390,295,28,18,Residential,9772433,24,3,Essen
"161 Main St, Essen",ID011150,296,10,29,Commercial,282896,165,4,Essen
"81 Main St, Essen",ID000506,296,5,27,Residential,333223,52,4,Essen
"248 Broadway, Essen",ID011392,296,28,27,Residential,2946011,314,6,Essen
"185 Broadway, Essen",ID006931,296,19,8,Commercial,6530100,46,5,Essen
"232 Broadway, Essen",ID021495,296,13,10,Residential,8279548,133,4,Essen
"94 High St, Essen",ID018305,297,18,22,Residential,646046,259,8,Essen
"35 Main St, Essen",ID023311,297,28,18,Commercial,1331520,16,8,Essen
"155 Park Ave, Essen",ID003989,297,19,13,Commercial,8775945,176,3,Essen
"238 Main St, Essen",ID013509,298,2,26,Residential,3834736,125,4,Essen
"94 Main St, Essen",ID023091,298,22,18,Residential,4879215,296,4,Essen
"47 Broadway, Essen",ID020843,298,7,13,Residential,6377681,65,5,Essen
"56 Broadway, Essen",ID018495,299,24,12,Residential,414478,8,2,Essen
"239 High St, Essen",ID010523,299,17,13,Residential,2527425,209,2,Essen
"285 High St, Essen",ID007210,299,18,13,Commercial,4055769,60,4,Essen
"231 Broadway, Essen",ID022442,299,6,12,Commercial,5216308,291,3,Essen
"225 Broadway, Essen",ID022507,299,15,15,Residential,6272758,255,7,Essen
"132 High St, Essen",ID005107,299,8,28,Residential,6980400,298,4,Essen
"192 Main St, Essen",ID024826,299,8,10,Commercial,7421377,126,8,Essen
"299 Main St, Essen",ID001658,299,22,25,Commercial,7537700,153,5,Essen
"121 High St, Essen",ID005926,300,10,13,Commercial,2384377,97,3,Essen
"129 Broadway, Essen",ID016645,300,2,12,Commercial,6821653,78,8,Essen
"71 Park Ave, Essen",ID001102,300,25,13,Residential,8662213,41,9,Essen
"188 Broadway, Essen",ID007568,300,29,4,Commercial,9176226,32,4,Essen
"14 Main St, Essen",ID022938,300,25,25,Commercial,9944568,237,9,Essen
"44 Broadway, Essen",ID019154,301,9,8,Residential,2220321,125,3,Essen
"114 Main St, Essen",ID025317,301,9,9,Residential,3026120,138,6,Essen
"240 Main St, Essen",ID022140,301,4,8,Residential,5985910,95,4,Essen
"264 Main St, Essen",ID003786,301,24,2,Commercial,9363449,114,8,Essen
"220 Broadway, Essen",ID018607,302,22,16,Commercial,3191215,318,2,Essen
"83 Main St, Essen",ID022516,302,3,4,Commercial,3554155,285,8,Essen
"233 Park Ave, Essen",ID016805,302,18,12,Commercial,5336140,100,2,Essen
"208 High St, Essen",ID001469,302,17,16,Commercial,5557551,23,7,Essen
"269 Park Ave, Essen",ID000415,303,20,17,Commercial,1227771,290,4,Essen
"195 High St, Essen",ID017878,303,14,16,Residential,5163577,363,4,Essen
"37 High St, Essen",ID024420,303,7,4,Residential,7931884,310,9,Essen
"55 Broadway, Essen",ID000513,304,29,4,Commercial,1295174,285,1,Essen
"49 Broadway, Essen",ID015045,304,22,14,Commercial,1968535,187,2,Essen
"45 Main St, Essen",ID008019,304,11,28,Commercial,3823477,170,5,Essen
"154 High St, Essen",ID023451,304,10,16,Residential,4713909,3,1,Essen
"138 Park Ave, Essen",ID000276,304,6,24,Commercial,5799573,61,9,Essen
"269 Park Ave, Essen",ID024198,305,20,15,Residential,184298,332,4,Essen
"89 Main St, Essen",ID004164,305,26,16,Residential,2994705,220,1,Essen
"79 Broadway, Essen",ID015822,305,29,10,Commercial,3560602,17,7,Essen
"137 High St, Essen",ID003412,305,2,19,Residential,3901803,159,5,Essen
"179 Broadway, Essen",ID022631,305,17,5,Commercial,8047611,190,8,Essen
"226 High St, Essen",ID009929,306,15,5,Commercial,298101,280,8,Essen
"25 Park Ave, Essen",ID000623,306,28,22,Residential,4253679,40,9,Essen
"294 High St, Essen",ID010488,306,21,21,Residential,7167131,364,9,Essen
"256 Main St, Essen",ID001364,306,8,5,Commercial,9153843,348,3,Essen
"110 High St, Essen",ID006441,306,16,23,Residential,9197535,344,6,Essen
"298 Park Ave, Essen",ID020381,307,29,20,Residential,1071456,96,7,Essen
"283 High St, Essen",ID009454,307,27,2,Commercial,3918943,363,5,Essen
"296 Main St, Essen",ID003974,307,17,9,Commercial,5744891,108,4,Essen
"206 Broadway, Essen",ID002231,308,15,27,Commercial,1846484,317,4,Essen
"7 Broadway, Essen",ID015798,308,1,12,Residential,4972029,333,7,Essen
"47 High St, Essen",ID016033,308,6,23,Residential,8586121,19,9,Essen
"239 Park Ave, Essen",ID012967,309,21,13,Commercial,1630266,107,1,Essen
"279 Main St, Essen",ID007399,309,13,2,Commercial,3022892,316,9,Essen
"276 Park Ave, Essen",ID016747,309,4,28,Residential,5897820,72,5,Essen
"166 High St, Essen",ID022658,309,6,4,Commercial,6065798,62,7,Essen
"90 Main St, Essen",ID018403,309,21,20,Residential,6356217,35,9,Essen
"261 Broadway, Essen",ID021904,309,13,17,Commercial,6681394,17,6,Essen
"141 Broadway, Essen",ID000866,309,12,15,Residential,7557833,49,9,Essen
"262 High St, Essen",ID020263,309,3,28,Commercial,8996129,7,9,Essen
"290 High St, Essen",ID020725,310,29,3,Residential,2421892,83,7,Essen
"97 Park Ave, Essen",ID005531,310,6,5,Commercial,2654848,89,9,Essen
"9 Park Ave, Essen",ID006484,310,5,20,Residential,5540026,167,8,Essen
"251 Main St, Essen",ID025268,310,15,18,Residential,6059906,330,6,Essen
"230 Main St, Essen",ID018812,310,8,3,Residential,6349775,180,4,Essen
"85 Main St, Essen",ID000952,310,5,27,Commercial,6583793,177,7,Essen
"65 High St, Essen",ID025492,310,12,23,Commercial,9015085,363,3,Essen
"265 High St, Essen",ID020305,311,19,6,Commercial,3557562,189,3,Essen
"282 Broadway, Essen",ID019045,311,21,22,Residential,3955110,97,3,Essen
"239 Park Ave, Essen",ID012903,311,3,25,Commercial,5629227,130,5,Essen
"147 Broadway, Essen",ID022331,311,6,24,Residential,7275875,120,8,Essen
"254 Main St, Essen",ID008644,311,12,21,Residential,8695577,290,3,Essen
"243 High St, Essen",ID014952,312,29,15,Commercial,2804923,238,1,Essen
"275 High St, Essen",ID021241,312,2,25,Residential,4186294,8,5,Essen
"164 High St, Essen",ID019300,312,6,8,Residential,4875225,352,1,Essen
"157 Broadway, Essen",ID019497,312,15,10,Residential,6022897,198,4,Essen
"246 Main St, Essen",ID006221,312,26,25,Commercial,8102768,227,6,Essen
"281 Park Ave, Essen",ID016432,312,4,15,Commercial,8433645,124,4,Essen
"208 Broadway, Essen",ID018786,312,3,22,Commercial,8992104,260,8,Essen
"42 High St, Essen",ID022732,313,16,23,Residential,1813128,211,1,Essen
"141 Park Ave, Essen",ID015179,313,25,26,Commercial,6037441,325,4,Essen
"257 High St, Essen",ID009232,313,26,3,Commercial,6488201,84,6,Essen
"282 Main St, Essen",ID002675,314,6,22,Commercial,2823753,267,5,Essen
"172 Main St, Essen",ID002606,314,28,18,Commercial,3559242,134,6,Essen
"33 Main St, Essen",ID002411,314,29,9,Residential,7244200,251,7,Essen
"254 Broadway, Essen",ID019675,315,4,23,Commercial,1304824,175,7,Essen
"120 Main St, Essen",ID022486,315,3,11,Residential,5148617,339,3,Essen
"300 Park Ave, Essen",ID018999,315,13,5,Commercial,6560530,12,9,Essen
"15 Park Ave, Essen",ID008047,315,24,16,Commercial,7488998,226,1,Essen
"183 High St, Essen",ID024701,316,28,4,Commercial,5052781,51,5,Essen
"247 Park Ave, Essen",ID018785,316,21,26,Commercial,6351330,89,1,Essen
"37 Park Ave, Essen",ID013037,317,2,28,Residential,538406,90,3,Essen
"299 Broadway, Essen",ID014209,317,19,3,Commercial,1212658,317,3,Essen
"114 Park Ave, Essen",ID008585,317,24,2,Commercial,1790686,242,2,Essen
"203 Main St, Essen",ID021261,317,17,8,Residential,3087935,303,9,Essen
"179 High St, Essen",ID000640,317,28,28,Commercial,4322041,113,1,Essen
"116 Broadway, Essen",ID009079,317,23,12,Residential,5795463,308,5,Essen
